time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.121,597.9604,4.4592,250.4765,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.248,597.3941,3.9813,250.4859,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.361,596.7314,3.4263,250.4943,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.471,596.1136,2.9113,250.5005,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.582,595.3019,2.2370,250.5072,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.693,594.5731,1.6330,250.5122,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.806,593.6422,0.8632,250.5176,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.916,592.6566,0.0496,250.5223,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.027,591.7980,-0.6583,250.5259,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.139,590.7278,-1.5397,250.5297,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.250,589.8214,-2.2855,250.5325,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.361,589.0227,-3.0545,250.5582,0.2510,3.8000,-0.4500,356.8054,179.9997,0.0087,0.0000,0.0000,0.0000
1.473,588.5563,-3.4446,250.5910,0.2510,3.8000,-0.4500,353.8445,179.9991,0.0136,0.0000,0.0000,0.0000
1.583,588.1279,-3.6524,250.6373,0.2510,3.8000,-0.4500,351.8002,179.9987,0.0105,0.0000,0.0000,0.0000
1.695,587.7789,-3.6994,250.6878,0.2510,3.8000,-0.4500,350.8633,179.9986,-0.0006,0.0000,0.0000,0.0000
1.807,587.5211,-3.6972,250.7269,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
1.917,587.2336,-3.7130,250.7661,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.028,587.0045,-3.7678,250.7903,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.140,586.7362,-3.8874,250.8091,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.252,586.5159,-4.0237,250.8179,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.362,586.2537,-4.2138,250.8237,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.474,586.0360,-4.3820,250.8266,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.584,585.7753,-4.5834,250.8300,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.696,585.5145,-4.7782,250.8344,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.807,585.2972,-4.9338,250.8390,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
2.917,585.0363,-5.1136,250.8455,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
3.028,584.8185,-5.2602,250.8512,0.2510,3.8000,-0.4500,350.6884,179.9986,359.9942,0.0000,0.0000,0.0000
3.140,584.5558,-5.4371,250.8576,0.2510,3.8000,-0.4500,350.6740,179.9986,359.8318,0.0000,0.0000,0.0000
3.251,584.3376,-5.5825,250.8616,0.2510,3.8000,-0.4500,350.6740,179.9986,359.8318,0.0000,0.0000,0.0000
3.362,584.0749,-5.7617,250.8631,0.2510,3.8000,-0.4500,350.7128,179.9984,359.5797,0.0000,0.0000,0.0000
3.473,583.8569,-5.9101,250.8616,0.2510,3.8000,-0.4500,350.7410,179.9982,359.4996,0.0000,0.0000,0.0000
3.584,583.5947,-6.0906,250.8553,0.2510,3.8000,-0.4500,350.8384,179.9971,359.2677,0.0000,0.0000,0.0000
3.697,583.3340,-6.2702,250.8443,0.2510,3.8000,-0.4500,350.9211,179.9959,359.1255,0.0000,0.0000,0.0000
3.809,583.1161,-6.4209,250.8306,0.2510,3.8000,-0.4500,351.1136,179.9925,358.8593,0.0000,0.0000,0.0000
3.918,582.8571,-6.5970,250.8110,0.2510,3.8000,-0.4500,351.1693,179.9913,358.8007,0.0000,0.0000,0.0000
4.029,582.6404,-6.7435,250.7904,0.2510,3.8000,-0.4500,351.3562,179.9871,358.6259,0.0000,0.0000,0.0000
4.141,582.3818,-6.9154,250.7626,0.2510,3.8000,-0.4500,351.4837,179.9839,358.5239,0.0000,0.0000,0.0000
4.252,582.1661,-7.0562,250.7358,0.2510,3.8000,-0.4500,351.6913,179.9782,358.3893,0.0000,0.0000,0.0000
4.363,581.9080,-7.2204,250.7007,0.2510,3.8000,-0.4500,351.9174,179.9716,358.2841,0.0000,0.0000,0.0000
4.488,581.6506,-7.3795,250.6627,0.2510,3.8000,-0.4500,352.1432,179.9646,358.2054,0.0000,0.0000,0.0000
4.598,581.3930,-7.5316,250.6218,0.2510,3.8000,-0.4500,352.4627,179.9543,358.1452,0.0000,0.0000,0.0000
4.710,581.1788,-7.6543,250.5874,0.2510,3.8000,-0.4500,352.5421,179.9517,358.1351,0.0000,0.0000,0.0000
4.822,580.9221,-7.7904,250.5431,0.2510,3.8000,-0.4500,353.0601,179.9347,358.1533,0.0000,0.0000,0.0000
4.933,580.7083,-7.8997,250.5076,0.2510,3.8000,-0.4500,353.2259,179.9294,358.1776,0.0000,0.0000,0.0000
5.042,580.4520,-8.0179,250.4642,0.2510,3.8000,-0.4500,353.7398,179.9134,358.3044,0.0000,0.0000,0.0000
5.154,580.2386,-8.1092,250.4303,0.2510,3.8000,-0.4500,354.0589,179.9042,358.4135,0.0000,0.0000,0.0000
5.265,579.9827,-8.2067,250.3920,0.2510,3.8000,-0.4500,354.5302,179.8919,358.6148,0.0000,0.0000,0.0000
5.377,579.7264,-8.2927,250.3585,0.2510,3.8000,-0.4500,354.9101,179.8833,358.8048,0.0000,0.0000,0.0000
5.487,579.5131,-8.3525,250.3338,0.2510,3.8000,-0.4500,355.3078,179.8758,359.0293,0.0000,0.0000,0.0000
5.600,579.2575,-8.4102,250.3093,0.2510,3.8000,-0.4500,355.8009,179.8687,359.3290,0.0000,0.0000,0.0000
5.711,579.0443,-8.4464,250.2938,0.2510,3.8000,-0.4500,356.2154,179.8648,359.5967,0.0000,0.0000,0.0000
5.821,578.7892,-8.4744,250.2816,0.2510,3.8000,-0.4500,356.7234,179.8627,359.9409,0.0000,0.0000,0.0000
5.933,578.5769,-8.4842,250.2761,0.2510,3.8000,-0.4500,357.1589,179.8634,0.2477,0.0000,0.0000,0.0000
6.043,578.3237,-8.4788,250.2706,0.2510,3.8000,-0.4500,357.6977,179.8676,0.6395,0.0000,0.0000,0.0000
6.156,578.0728,-8.4539,250.2603,0.2510,3.8000,-0.4500,358.2518,179.8758,1.0554,0.0000,0.0000,0.0000
6.265,577.8660,-8.4182,250.2452,0.2510,3.8000,-0.4500,358.7220,179.8859,1.4183,0.0000,0.0000,0.0000
6.376,577.6208,-8.3573,250.2167,0.2510,3.8000,-0.4500,359.2920,179.9023,1.8708,0.0000,0.0000,0.0000
6.487,577.4196,-8.2916,250.1830,0.2510,3.8000,-0.4500,359.7683,179.9194,2.2593,0.0000,0.0000,0.0000
6.600,577.1819,-8.1954,250.1295,0.2510,3.8000,-0.4500,0.3376,179.9443,2.7362,0.0000,0.0000,0.0000
